Biomechanics Group,Biomechanics,Plain English Description,Landmarks Needed,Formula,Symbol Definitions,MVP,MP,MVN,YOLO,OP,DLC,Typical values,Ideal Value,Feedback Mapping
LOWER LEG STABILITY GROUP,⭐ Lower Leg Stability ,"Measures how much the lower leg swings relative to the rider’s hip over time.
A stable lower leg is a core indicator of rider balance and seat stability.","Hip, Knee, Ankle","LowerLegStability = RMS( v_leg(t) - mean(v_leg) ) / torso_length

v_leg(t) = A(t) - H(t) [ankle position relative to hip over time]","A = ankle position
H = hip position
K = knee position
Heel = heel position
T = toe position

baseline = reference neutral position
torso_length = distance from midpoint of shoulders to midpoint of hips
foot_length = distance from heel to toe",⭐,✅,✅,✅,✅,🔧,0 – ~0.2+,Close to 0 - Lower is better,"0 – 0.03 → Excellent lower leg stability
0.03 – 0.06 → Very stable leg
0.06 – 0.10 → Slight leg movement
0.10 – 0.15 → Leg instability visible"
,Knee Angle Stability,"Measures how consistently the rider maintains knee bend during the ride.
Frequent changes in knee angle often indicate gripping or loss of balance.","Hip, Knee, Ankle","KneeAngleStability = StdDev( theta_knee(t) )

theta_knee(t) = angle(H(t), K(t), A(t)) [knee angle over time]",,✅,✅,✅,✅,✅,🔧,0° – 30°,0° variation- Lower is better,"0 – 3° → Knee very stable
3 – 6° → Knee mostly stable
6 – 10° → Mild knee movement
10 – 18° → Noticeable instability"
,Heel Position Stability,"Measures how stable the rider’s heel position is during the ride.
Stable heels help anchor the rider’s leg and maintain balance.","Knee, Ankle, Heel, Toe","HeelPositionStability = StdDev( theta_heel(t) )

theta_heel(t) = angle(K(t), A(t), T(t)) [ankle-foot angle over time]",,"✅
If foot landmarks are avalable",⚠️,❌,❌,✅,🔧,0° – 25°,0° variation - Lower is better,"0 – 4° → Heel extremely stable
4 – 7° → Heel mostly stable
7 – 12° → Heel movement noticeable
12 – 18° → Heel unstable"
,Lower Leg Drift,Detects whether the rider’s leg gradually shifts forward or backward relative to the seat.,"Hip, Ankle","LowerLegDrift = | mean(v_leg(t)) - baseline_leg_position |

v_leg(t) = A(t) - H(t) [ankle position relative to hip over time]",,✅,✅,✅,✅,✅,🔧,0 - 0.15,0 - Lower is better,"0 – 0.02 → Leg position ideal
0.02 – 0.05 → Slight drift
0.05 – 0.09 → Moderate drift
0.09 – 0.12 → Leg creeping forward/back"
HAND / REIN CONTROL GROUP,⭐ Rein Symmetry,Measures whether the rider’s hands are carried at even heights. Uneven hands can contribute to crookedness and uneven contact,"Left Wrist, Right Wrist","ReinSymmetry = | y(LW) - y(RW) | / shoulder_width

LW = mean(LW(t)) [average left wrist position over the analysis window]
RW = mean(RW(t)) [average right wrist position over the analysis window]","LW(t) = left wrist position at time t
RW(t) = right wrist position at time t
LS(t) = left shoulder position at time t
RS(t) = right shoulder position at time t
LE(t) = left elbow position at time t
RE(t) = right elbow position at time t
W(t) = wrist position at time t
S(t) = shoulder position at time t
E(t) = elbow position at time t

shoulder_width = distance between left and right shoulders
torso_length = distance from midpoint of shoulders to midpoint of hips",⭐,✅,✅,✅,✅,🔧,0 - 0.30,0 - Closer to zero is better,"0 – 0.02 → Hands perfectly even
0.02 – 0.05 → Hands mostly level
0.05 – 0.08 → Slight hand imbalance
0.08 – 0.15 → Noticeable uneven hands"
,⭐ Rein Steadiness,Measures how much the rider’s hands move relative to the shoulders over time. Steadier hands generally support more consistent contact.,"Shoulder, Elbow, Wrist","ReinSteadiness = RMS( v_hand(t) - mean(v_hand) ) / torso_length

v_hand(t) = W(t) - S(t) [wrist position relative to shoulder over time]",,⭐,✅,✅,✅,✅,🔧,0 - 0.20,0 - Lower is better,"0 – 0.02 → Hands extremely steady
0.02 – 0.05 → Hands steady
0.05 – 0.08 → Slight hand movement
0.08 – 0.15 → Hands moving frequently"
,Hand Spacing Stability,Measures whether the distance between the hands remains consistent over time.,"Left Wrist, Right Wrist","HandSpacingStability = StdDev( d_hands(t) / shoulder_width )

d_hands(t) = distance(LW(t), RW(t)) [distance between hands over time]",,✅,✅,✅,✅,✅,🔧,0 - 0.10,0 - Lower is better,"0.00–0.02 = hand width very consistent
0.02–0.04 = mostly consistent
0.04–0.06 = mild inconsistency
0.06–0.10 = noticeably variable"
,Elbow Symmetry,Measures whether both elbows maintain similar bend angles.,"Shoulder, Elbow, Wrist","ElbowSymmetry = | theta_elbow_left - theta_elbow_right |

theta_elbow_left = angle(LS, LE, LW) [left elbow angle]
theta_elbow_right = angle(RS, RE, RW) [right elbow angle]",,⚠️,✅,✅,✅,✅,🔧,0° - 30°,0° - Closer to zero is better,"0–3° = elbows very even
3–6° = mostly even
6–10° = mild asymmetry
10–18° = noticeable asymmetry"
,Elbow Elasticity,"Measures whether the elbow maintains a soft, functional bend rather than becoming rigid or excessively unstable.","Shoulder, Elbow, Wrist","ElbowElasticity_mean = mean( theta_elbow(t) )
ElbowElasticity_var = StdDev( theta_elbow(t) )

theta_elbow(t) = angle(S(t), E(t), W(t)) [elbow angle over time]",,⚠️,✅,✅,✅,✅,🔧,"Mean angle: roughly ~120° to 170°
Variation: 0° to ~25°","Mean angle target band: ~130°–155°
Variation target: ~0°–8°

Target range for mean; lower is better for variability","Mean too open + low variability = likely locked elbow
Mean in target band + low variability = elastic and steady
High variability = unstable elbow position"
UPPER BODY ALIGNMENT GROUP (POSTURE),⭐ Upper Body Vertical Alignment,Measures whether the rider leans forward or backward relative to vertical.,"Shoulders, Hips","UpperBodyVerticalAlignment = mean( theta_trunk(t) )

theta_trunk(t) = angle( trunk_vector(t), vertical ) [trunk angle relative to vertical over time]
trunk_vector(t) = MS(t) - MH(t) [vector from mid-hip to mid-shoulder]","MS(t) = midpoint between shoulders at time t
MH(t) = midpoint between hips at time t
LH(t) = left hip position at time t
RH(t) = right hip position at time t
Head(t) = head position at time t

vertical = vertical axis of the image
torso_length = distance from midpoint of shoulders to midpoint of hips",⭐,✅,✅,✅,✅,🔧,0° – 40°,0° - Closer to zero is better,"0 – 5° → Excellent posture
5 – 10° → Good alignment
10 – 15° → Slight lean
15 – 25° → Noticeable lean"
